"Table with row headers in column A and column headers in rows 4 and 5, 57 and 58, 110 and 111, 163 and 164, 216 and 217, 269 and 270, 322 and 323, 375 and 376, 428 and 429, 481 and 482, 534 and 535, 587 and 588, 640 and 641, 693 and 694, 746 and 747, 799 and 800, 852 and 853, 905 and 906, 958 and 959, 1011 and 1012, 1064 and 1065, 1117 and 1118, 1170 and 1171, 1223 and 1224, 1276 and 1277, 1329 and 1330, 1382 and 1383, 1435 and 1436, 1488 and 1489, 1541 and 1542, 1594 and 1595, 1647 and 1648, 1700 and 1701, 1753 and 1754, 1806 and 1807, 1859 and 1860, 1912 and 1913, 1965 and 1966, and 2018 and 2019.",,,,,
"Table 21. Number of Poor and Poverty Rate, by State: 1980 to  2017",,,,,
NOTE: Number in thousands.,,,,,
2017,,,,,
STATE,Total,Number,"Standard
error",Percent,"Standard
error"
Ohio,"11,254","1,424",122,12.7,1.0
Oklahoma,"3,344",556,65,16.6,1.8
Oregon,"3,234",382,58,11.8,1.7
Pennsylvania,"11,889","1,374",117,11.6,0.9
Rhode Island,940,104,18,11.0,1.8
South Carolina,"3,698",482,71,13.0,1.8
South Dakota,701,82,12,11.8,1.6
Tennessee,"5,528",878,110,15.9,1.8
Texas,"19,184","3,180",199,16.6,1.0
Utah,"1,998",153,26,7.7,1.3
Vermont,586,74,12,12.6,1.9
Virginia,"6,481",795,110,12.3,1.6
Washington,"5,620",666,101,11.9,1.7
West Virginia,"1,745",323,36,18.5,1.9
Wisconsin,"5,205",460,77,8.8,1.4
Wyoming,486,58,8,11.9,1.6
1995,,,,,
STATE,Total,Number,"Standard
error",Percent,"Standard
error"
Alabama,"4,396",882,86,20.1,2.0
Alaska,630,45,8,7.1,1.3
Arizona,"4,337",700,77,16.1,1.8
Arkansas,"2,532",376,44,14.9,1.8
California,"32,055","5,342",244,16.7,0.8
Colorado,"3,793",335,54,8.8,1.4
Connecticut,"3,276",318,55,9.7,1.7
Delaware,713,74,12,10.3,1.7
D.C.,551,122,13,22.2,2.3
Florida,"14,306","2,321",140,16.2,1.0
Georgia,"7,262",878,106,12.1,1.5
Hawaii,"1,187",122,20,10.3,1.7
Idaho,"1,154",167,20,14.5,1.7
Illinois,"11,761","1,459",115,12.4,1.0
Indiana,"5,673",545,84,9.6,1.5
Iowa,"2,894",352,48,12.2,1.7
Kansas,"2,535",273,41,10.8,1.6
Kentucky,"3,876",572,68,14.7,1.8
Louisiana,"4,306",849,82,19.7,1.9
Maine,"1,225",138,22,11.2,1.8
Maryland,"5,133",520,82,10.1,1.6
Massachusetts,"6,065",665,70,11.0,1.2
Michigan,"9,637","1,174",100,12.2,1.0
Minnesota,"4,628",427,67,9.2,1.4
Mississippi,"2,685",630,56,23.5,2.1
Missouri,"5,140",484,79,9.4,1.5
Montana,870,133,15,15.3,1.8
Nebraska,"1,648",159,25,9.6,1.5
Nevada,"1,558",173,26,11.1,1.7
New Hampshire,"1,139",60,15,5.3,1.3
New Jersey,"7,879",617,70,7.8,0.9
New Mexico,"1,806",457,37,25.3,2.1
New York,"18,258","3,020",153,16.5,0.8
North Carolina,"6,935",877,86,12.6,1.3
North Dakota,635,76,11,12.0,1.7
Ohio,"11,211","1,285",110,11.5,1.0
Oklahoma,"3,204",548,59,17.1,1.8
Oregon,"3,208",360,53,11.2,1.7
Pennsylvania,"12,031","1,464",113,12.2,0.9
Rhode Island,962,102,17,10.6,1.8
South Carolina,"3,741",744,79,19.9,2.1
South Dakota,713,103,13,14.5,1.8
Tennessee,"5,462",846,100,15.5,1.8
Texas,"18,761","3,270",184,17.4,1.0
Utah,"1,999",168,26,8.4,1.3
Vermont,593,61,10,10.3,1.7
Virginia,"6,371",648,95,10.2,1.5
Washington,"5,424",677,95,12.5,1.8
West Virginia,"1,793",300,32,16.7,1.8
Wisconsin,"5,300",449,72,8.5,1.4
Wyoming,482,59,8,12.2,1.7
1994,,,,,
STATE,Total,Number,"Standard
error",Percent,"Standard
error"
Alabama,"4,299",704,80,16.4,1.9
Alaska,592,61,8,10.2,1.4
Arizona,"4,223",673,74,15.9,1.8
Arkansas,"2,414",369,44,15.3,1.8
California,"31,669","5,658",233,17.9,0.7
Colorado,"3,736",335,55,9.0,1.5
Connecticut,"3,192",344,59,10.8,1.9
Delaware,681,57,11,8.3,1.6
D.C.,607,129,15,21.2,2.5
Florida,"14,258","2,128",123,14.9,0.9
Georgia,"7,220","1,012",120,14.0,1.7
Hawaii,"1,106",97,17,8.7,1.6
Idaho,"1,138",137,17,12.0,1.5
Illinois,"11,808","1,464",106,12.4,0.9
Indiana,"5,967",816,106,13.7,1.8
Iowa,"2,815",302,44,10.7,1.6
Kansas,"2,522",375,45,14.9,1.8
Kentucky,"3,843",710,76,18.5,2.0
Louisiana,"4,351","1,117",101,25.7,2.3
Maine,"1,201",113,19,9.4,1.6
Maryland,"5,045",541,83,10.7,1.7
Massachusetts,"6,005",585,50,9.7,0.8
Michigan,"9,519","1,347",89,14.1,0.9
Minnesota,"4,486",523,76,11.7,1.7
Mississippi,"2,587",515,51,19.9,2.0
Missouri,"5,107",797,100,15.6,2.0
Montana,844,97,13,11.5,1.6
Nebraska,"1,648",146,23,8.8,1.4
Nevada,"1,521",168,22,11.1,1.5
New Hampshire,"1,131",87,18,7.7,1.6
New Jersey,"7,920",730,62,9.2,0.8
New Mexico,"1,685",356,33,21.1,2.0
New York,"18,213","3,097",140,17.0,0.8
North Carolina,"6,895",980,62,14.2,0.9
North Dakota,627,65,9,10.4,1.5
Ohio,"11,139","1,571",103,14.1,0.9
Oklahoma,"3,232",540,61,16.7,1.9
Oregon,"3,152",373,54,11.8,1.7
Pennsylvania,"11,967","1,496",106,12.5,0.9
Rhode Island,968,99,17,10.3,1.8
South Carolina,"3,633",501,57,13.8,1.6
South Dakota,737,107,12,14.5,1.6
Tennessee,"5,338",779,89,14.6,1.7
Texas,"18,894","3,603",184,19.1,1.0
Utah,"1,926",154,25,8.0,1.3
Vermont,589,45,9,7.6,1.5
Virginia,"6,616",710,91,10.7,1.4
Washington,"5,259",614,83,11.7,1.6
West Virginia,"1,804",336,37,18.6,2.0
Wisconsin,"5,003",453,69,9.0,1.4
Wyoming,485,45,8,9.3,1.7
1993 (10),,,,,
STATE,Total,Number,"Standard
error",Percent,"Standard
error"
Alabama,"4,168",725,81,17.4,1.9
Alaska,570,52,8,9.1,1.3
Arizona,"4,003",615,72,15.4,1.8
Arkansas,"2,421",484,49,20.0,2.0
California,"31,970","5,803",235,18.2,0.7
Colorado,"3,564",354,56,9.9,1.6
Connecticut,"3,259",277,54,8.5,1.7
Delaware,711,73,12,10.2,1.7
D.C.,597,158,16,26.4,2.7
Florida,"14,118","2,507",131,17.8,0.9
Georgia,"6,825",919,115,13.5,1.7
Hawaii,"1,135",91,17,8.0,1.5
Idaho,"1,145",150,18,13.1,1.6
Illinois,"11,725","1,600",110,13.6,0.9
Indiana,"5,751",704,100,12.2,1.7
Iowa,"2,809",290,43,10.3,1.5
Kansas,"2,496",327,42,13.1,1.7
Kentucky,"3,740",763,78,20.4,2.1
Louisiana,"4,246","1,119",101,26.4,2.4
Maine,"1,276",196,24,15.4,1.9
Maryland,"4,925",479,79,9.7,1.6
Massachusetts,"5,991",641,52,10.7,0.9
Michigan,"9,560","1,475",93,15.4,1.0
Minnesota,"4,354",506,75,11.6,1.7
Mississippi,"2,584",639,55,24.7,2.1
Missouri,"5,185",832,102,16.1,2.0
Montana,850,127,15,14.9,1.8
Nebraska,"1,641",169,24,10.3,1.5
Nevada,"1,444",141,21,9.8,1.4
New Hampshire,"1,131",112,20,9.9,1.8
New Jersey,"7,968",866,67,10.9,0.8
New Mexico,"1,623",282,30,17.4,1.9
New York,"18,218","2,981",137,16.4,0.8
North Carolina,"6,732",966,62,14.4,0.9
North Dakota,625,70,10,11.2,1.6
Ohio,"11,264","1,461",100,13.0,0.9
Oklahoma,"3,326",662,66,19.9,2.0
Oregon,"3,077",363,53,11.8,1.8
Pennsylvania,"12,073","1,598",109,13.2,0.9
Rhode Island,969,108,18,11.2,1.8
South Carolina,"3,630",678,65,18.7,1.8
South Dakota,717,102,12,14.2,1.6
Tennessee,"5,092",998,98,19.6,1.9
Texas,"18,266","3,177",176,17.4,1.0
Utah,"1,906",203,28,10.7,1.5
Vermont,588,59,10,10.0,1.7
Virginia,"6,470",627,86,9.7,1.3
Washington,"5,224",634,85,12.1,1.6
West Virginia,"1,803",400,39,22.2,2.2
Wisconsin,"5,033",636,80,12.6,1.6
Wyoming,481,64,10,13.3,2.0
1992 (9),,,,,
STATE,Total,Number,"Standard
error",Percent,"Standard
error"
Alabama,"4,226",729,81,17.3,1.9
Alaska,572,58,8,10.2,1.4
Arizona,"3,851",607,71,15.8,1.9
Arkansas,"2,463",430,47,17.5,1.9
California,"31,701","5,197",225,16.4,0.7
Colorado,"3,478",376,58,10.8,1.7
Connecticut,"3,272",321,57,9.8,1.8
Delaware,709,55,11,7.8,1.5
D.C.,591,120,14,20.3,2.5
Florida,"13,714","2,139",123,15.6,0.9
Georgia,"6,664","1,177",128,17.7,1.9
Hawaii,"1,187",133,20,11.2,1.7
Idaho,"1,095",166,19,15.2,1.7
Illinois,"11,892","1,857",117,15.6,1.0
Indiana,"5,622",661,97,11.8,1.7
Iowa,"2,846",328,46,11.5,1.6
Kansas,"2,510",279,39,11.1,1.6
Kentucky,"3,720",731,77,19.7,2.1
Louisiana,"4,256","1,043",99,24.5,2.3
Maine,"1,239",167,23,13.5,1.8
Maryland,"4,946",583,86,11.8,1.7
Massachusetts,"5,843",600,50,10.3,0.9
Michigan,"9,322","1,271",87,13.6,0.9
Minnesota,"4,318",561,78,13.0,1.8
Mississippi,"2,725",671,56,24.6,2.1
Missouri,"5,062",795,100,15.7,2.0
Montana,855,118,15,13.8,1.7
Nebraska,"1,606",169,24,10.6,1.5
Nevada,"1,353",199,24,14.7,1.8
New Hampshire,"1,114",97,19,8.7,1.7
New Jersey,"7,803",803,65,10.3,0.8
New Mexico,"1,611",348,32,21.6,2.0
New York,"17,975","2,820",134,15.7,0.8
North Carolina,"6,813","1,080",65,15.8,1.0
North Dakota,616,74,10,12.1,1.6
Ohio,"11,175","1,398",98,12.5,0.9
Oklahoma,"3,269",607,64,18.6,2.0
Oregon,"3,039",346,52,11.4,1.7
Pennsylvania,"12,018","1,425",104,11.9,0.9
Rhode Island,960,119,19,12.4,1.9
South Carolina,"3,675",697,66,19.0,1.8
South Dakota,705,106,12,15.1,1.7
Tennessee,"5,036",858,93,17.0,1.9
Texas,"17,921","3,282",178,18.3,1.0
Utah,"1,830",172,26,9.4,1.4
Vermont,582,61,10,10.5,1.8
Virginia,"6,241",592,84,9.5,1.4
Washington,"5,138",574,81,11.2,1.6
West Virginia,"1,795",401,39,22.3,2.2
Wisconsin,"5,118",560,76,10.9,1.5
Wyoming,475,49,9,10.3,1.8
1991 (8),,,,,
STATE,Total,Number,"Standard
error",Percent,"Standard
error"
Alabama,"4,178",786,83,18.8,2.0
Alaska,525,62,8,11.8,1.6
Arizona,"3,603",532,67,14.8,1.9
Arkansas,"2,450",425,47,17.3,1.9
California,"30,735","4,825",219,15.7,0.7
Colorado,"3,319",347,56,10.4,1.7
Connecticut,"3,341",287,55,8.6,1.6
Delaware,709,53,10,7.5,1.5
D.C.,530,98,13,18.6,2.5
Florida,"13,412","2,069",122,15.4,0.9
Georgia,"6,265","1,077",123,17.2,2.0
Hawaii,"1,164",90,17,7.7,1.4
Idaho,"1,035",144,17,13.9,1.7
Illinois,"11,800","1,598",110,13.5,0.9
Indiana,"5,533",866,109,15.7,2.0
Iowa,"2,821",271,42,9.6,1.5
Kansas,"2,580",317,42,12.3,1.6
Kentucky,"3,640",683,75,18.8,2.1
Louisiana,"4,185",795,89,19.0,2.1
Maine,"1,213",171,23,14.1,1.9
Maryland,"4,767",432,75,9.1,1.6
Massachusetts,"5,803",637,51,11.0,0.9
Michigan,"9,263","1,308",88,14.1,1.0
Minnesota,"4,384",564,78,12.9,1.8
Mississippi,"2,681",635,55,23.7,2.1
Missouri,"4,993",740,97,14.8,1.9
Montana,822,127,15,15.4,1.8
Nebraska,"1,661",157,23,9.5,1.4
Nevada,"1,237",141,21,11.4,1.7
New Hampshire,"1,107",81,17,7.3,1.5
New Jersey,"7,736",754,63,9.7,0.8
New Mexico,"1,554",349,32,22.4,2.1
New York,"17,914","2,736",133,15.3,0.7
North Carolina,"6,641",964,62,14.5,0.9
North Dakota,635,92,11,14.5,1.7
Ohio,"11,061","1,488",101,13.4,0.9
Oklahoma,"3,173",541,61,17.0,1.9
Oregon,"2,967",401,56,13.5,1.9
Pennsylvania,"12,147","1,340",101,11.0,0.8
Rhode Island,949,99,17,10.4,1.8
South Carolina,"3,538",582,61,16.4,1.7
South Dakota,689,96,11,14.0,1.6
Tennessee,"4,787",744,88,15.5,1.8
Texas,"16,964","2,965",171,17.5,1.0
Utah,"1,717",222,29,12.9,1.7
Vermont,579,73,11,12.6,1.9
Virginia,"6,144",608,85,9.9,1.4
Washington,"4,989",474,75,9.5,1.5
West Virginia,"1,830",327,37,17.9,2.0
Wisconsin,"4,952",492,72,9.9,1.5
Wyoming,470,47,8,9.9,1.8
1990,,,,,
STATE,Total,Number,"Standard
error",Percent,"Standard
error"
Alabama,"4,063",779,83,19.2,2.0
Alaska,499,57,8,11.4,1.6
Arizona,"3,521",484,65,13.7,1.8
Arkansas,"2,411",472,49,19.6,2.0
California,"29,765","4,128",205,13.9,0.7
Colorado,"3,367",461,63,13.7,1.9
Connecticut,"3,265",196,46,6.0,1.4
Delaware,690,48,10,6.9,1.4
D.C.,570,120,14,21.1,2.5
Florida,"13,179","1,896",117,14.4,0.9
Georgia,"6,349","1,001",120,15.8,1.9
Hawaii,"1,100",121,19,11.0,1.7
Idaho,"1,048",157,18,14.9,1.7
Illinois,"11,696","1,606",111,13.7,1.0
Indiana,"5,480",714,100,13.0,1.8
Iowa,"2,784",289,43,10.4,1.6
Kansas,"2,510",259,38,10.3,1.5
Kentucky,"3,620",628,73,17.3,2.0
Louisiana,"4,034",952,96,23.6,2.3
Maine,"1,231",162,22,13.1,1.8
Maryland,"4,727",468,78,9.9,1.7
Massachusetts,"5,832",626,51,10.7,0.9
Michigan,"9,187","1,315",88,14.3,1.0
Minnesota,"4,366",524,76,12.0,1.7
Mississippi,"2,663",684,56,25.7,2.1
Missouri,"5,238",700,95,13.4,1.8
Montana,820,134,15,16.3,1.9
Nebraska,"1,617",167,24,10.3,1.5
Nevada,"1,218",119,19,9.8,1.6
New Hampshire,"1,085",68,16,6.3,1.5
New Jersey,"7,741",711,61,9.2,0.8
New Mexico,"1,524",319,31,20.9,2.1
New York,"18,038","2,571",129,14.3,0.7
North Carolina,"6,377",829,58,13.0,0.9
North Dakota,635,87,11,13.7,1.7
Ohio,"10,890","1,256",94,11.5,0.9
Oklahoma,"3,091",481,58,15.6,1.9
Oregon,"2,891",267,47,9.2,1.6
Pennsylvania,"12,097","1,328",100,11.0,0.8
Rhode Island,946,71,15,7.5,1.6
South Carolina,"3,391",548,60,16.2,1.8
South Dakota,696,93,11,13.3,1.6
Tennessee,"4,927",833,92,16.9,1.9
Texas,"16,873","2,684",164,15.9,1.0
Utah,"1,739",143,24,8.2,1.4
Vermont,564,61,10,10.9,1.8
Virginia,"6,322",705,91,11.1,1.4
Washington,"4,880",434,72,8.9,1.5
West Virginia,"1,810",328,37,18.1,2.0
Wisconsin,"4,815",448,69,9.3,1.4
Wyoming,463,51,9,11.0,1.9
1989,,,,,
STATE,Total,Number,"Standard
error",Percent,"Standard
error"
Alabama,"4,074",770,83,18.9,2.0
Alaska,488,51,8,10.5,1.5
Arizona,"3,556",502,66,14.1,1.9
Arkansas,"2,419",442,48,18.3,2.0
California,"29,346","3,772",197,12.9,0.7
Colorado,"3,258",393,59,12.1,1.8
Connecticut,"3,136",90,32,2.9,1.0
Delaware,676,68,12,10.0,1.7
D.C.,569,102,14,18.0,2.4
Florida,"12,762","1,590",109,12.5,0.9
Georgia,"6,197",929,116,15.0,1.9
Hawaii,"1,086",122,19,11.3,1.8
Idaho,"1,014",126,17,12.4,1.6
Illinois,"11,559","1,470",107,12.7,0.9
Indiana,"5,453",749,102,13.7,1.9
Iowa,"2,835",291,43,10.3,1.5
Kansas,"2,434",262,38,10.8,1.6
Kentucky,"3,576",576,70,16.1,2.0
Louisiana,"4,080",950,95,23.3,2.3
Maine,"1,233",128,20,10.4,1.6
Maryland,"4,567",411,74,9.0,1.6
Massachusetts,"5,831",513,47,8.8,0.8
Michigan,"9,297","1,228",86,13.2,0.9
Minnesota,"4,268",478,73,11.2,1.7
Mississippi,"2,574",566,53,22.0,2.0
Missouri,"5,193",654,92,12.6,1.8
Montana,816,127,15,15.6,1.8
Nebraska,"1,602",204,26,12.8,1.6
Nevada,"1,127",121,19,10.8,1.7
New Hampshire,"1,100",84,17,7.7,1.6
New Jersey,"7,623",622,58,8.2,0.8
New Mexico,"1,519",297,31,19.5,2.0
New York,"17,938","2,254",122,12.6,0.7
North Carolina,"6,301",770,56,12.2,0.9
North Dakota,642,79,10,12.2,1.6
Ohio,"10,754","1,143",90,10.6,0.8
Oklahoma,"3,126",460,57,14.7,1.8
Oregon,"2,915",327,51,11.2,1.8
Pennsylvania,"12,141","1,261",98,10.4,0.8
Rhode Island,963,64,14,6.7,1.5
South Carolina,"3,446",585,61,17.0,1.8
South Dakota,696,92,11,13.2,1.6
Tennessee,"4,833",891,94,18.4,1.9
Texas,"16,886","2,880",169,17.1,1.0
Utah,"1,683",138,24,8.2,1.4
Vermont,556,44,9,8.0,1.6
Virginia,"6,159",671,89,10.9,1.4
Washington,"4,729",455,73,9.6,1.6
West Virginia,"1,799",283,34,15.7,1.9
Wisconsin,"4,694",393,65,8.4,1.4
Wyoming,462,50,9,10.9,1.9
1988,,,,,
STATE,Total,Number,"Standard
error",Percent,"Standard
error"
Alabama,"4,015",775,83,19.3,2.1
Alaska,480,53,8,11.0,1.7
Arizona,"3,491",491,65,14.1,1.9
Arkansas,"2,446",527,51,21.6,2.1
California,"27,855","3,687",249,13.2,0.9
Colorado,"3,237",405,60,12.5,1.9
Connecticut,"3,199",128,37,4.0,1.2
Delaware,659,57,10,8.6,1.6
D.C.,579,88,12,15.2,2.1
Florida,"12,497","1,704",107,13.6,0.9
Georgia,"6,230",875,108,14.0,1.7
Hawaii,"1,051",117,18,11.1,1.7
Idaho,991,124,17,12.5,1.7
Illinois,"11,344","1,436",106,12.7,0.9
Indiana,"5,530",560,90,10.1,1.6
Iowa,"2,814",263,41,9.4,1.5
Kansas,"2,399",195,34,8.1,1.4
Kentucky,"3,605",634,74,17.6,2.0
Louisiana,"4,249",968,98,22.8,2.3
Maine,"1,201",159,21,13.2,1.8
Maryland,"4,650",457,77,9.8,1.7
Massachusetts,"5,861",497,46,8.5,0.8
Michigan,"9,223","1,112",83,12.1,0.9
Minnesota,"4,421",514,74,11.6,1.7
Mississippi,"2,588",704,58,27.2,2.2
Missouri,"5,201",662,93,12.7,1.8
Montana,795,116,14,14.6,1.8
Nebraska,"1,600",164,24,10.3,1.5
Nevada,"1,084",93,17,8.6,1.6
New Hampshire,"1,089",73,16,6.7,1.4
New Jersey,"7,628",475,50,6.2,0.7
New Mexico,"1,495",343,31,23.0,2.1
New York,"17,635","2,369",157,13.4,0.9
North Carolina,"6,312",796,57,12.6,0.9
North Dakota,654,76,10,11.6,1.6
Ohio,"10,903","1,356",96,12.4,0.9
Oklahoma,"3,146",543,62,17.3,2.0
Oregon,"2,727",285,48,10.4,1.8
Pennsylvania,"12,120","1,246",98,10.3,0.8
Rhode Island,"1,008",99,17,9.8,1.7
South Carolina,"3,405",528,58,15.5,1.7
South Dakota,707,101,11,14.2,1.6
Tennessee,"4,901",883,95,18.0,1.9
Texas,"16,686","3,006",172,18.0,1.0
Utah,"1,662",162,25,9.8,1.5
Vermont,532,43,8,8.1,1.6
Virginia,"5,970",647,87,10.8,1.5
Washington,"4,625",402,69,8.7,1.5
West Virginia,"1,880",337,37,17.9,2.0
Wisconsin,"4,696",364,63,7.8,1.3
Wyoming,454,43,8,9.6,1.8
1987 (7),,,,,
STATE,Total,Number,"Standard
error",Percent,"Standard
error"
Alabama,"3,989",851,86,21.3,2.2
Alaska,499,60,8,12.0,1.7
Arizona,"3,459",444,62,12.8,1.8
Arkansas,"2,468",537,51,21.8,2.1
California,"27,877","3,443",188,12.3,0.7
Colorado,"3,184",398,60,12.5,1.9
Connecticut,"3,127",207,42,6.6,1.4
Delaware,637,42,9,6.6,1.4
D.C.,587,88,12,14.9,2.1
Florida,"12,262","1,523",102,12.4,0.8
Georgia,"6,049",883,108,14.6,1.8
Hawaii,"1,086",95,16,8.8,1.5
Idaho,991,150,18,15.1,1.8
Illinois,"11,503","1,655",112,14.4,1.0
Indiana,"5,398",597,78,11.1,1.4
Iowa,"2,892",419,51,14.5,1.8
Kansas,"2,435",225,36,9.2,1.5
Kentucky,"3,666",634,74,17.3,2.0
Louisiana,"4,268","1,071",102,25.1,2.4
Maine,"1,144",134,20,11.7,1.7
Maryland,"4,558",420,62,9.2,1.4
Massachusetts,"5,845",477,45,8.2,0.8
Michigan,"8,973","1,095",82,12.2,0.9
Minnesota,"4,294",484,72,11.3,1.7
Mississippi,"2,553",637,56,25.0,2.2
Missouri,"5,100",716,85,14.0,1.7
Montana,798,144,16,18.0,2.0
Nebraska,"1,610",191,26,11.9,1.6
Nevada,"1,026",107,18,10.4,1.8
New Hampshire,"1,054",51,13,4.8,1.2
New Jersey,"7,503",626,58,8.3,0.8
New Mexico,"1,443",280,29,19.4,2.0
New York,"17,470","2,506",128,14.3,0.7
North Carolina,"6,183",853,59,13.8,0.9
North Dakota,655,75,10,11.4,1.6
Ohio,"10,799","1,375",97,12.7,0.9
Oklahoma,"3,209",547,61,17.0,1.9
Oregon,"2,709",384,55,14.2,2.0
Pennsylvania,"11,770","1,249",98,10.6,0.8
Rhode Island,974,79,15,8.1,1.6
South Carolina,"3,274",512,57,15.6,1.8
South Dakota,714,109,12,15.2,1.7
Tennessee,"4,679",792,91,16.9,1.9
Texas,"16,607","2,917",170,17.6,1.0
Utah,"1,689",173,26,10.2,1.5
Vermont,534,50,9,9.3,1.7
Virginia,"5,871",583,83,9.9,1.4
Washington,"4,489",450,73,10.0,1.6
West Virginia,"1,889",408,40,21.6,2.1
Wisconsin,"4,738",428,67,9.0,1.4
Wyoming,451,49,9,10.8,1.9
1986,,,,,
STATE,Total,Number,"Standard
error",Percent,"Standard
error"
Alabama,"4,025",959,87,23.8,2.2
Alaska,517,59,8,11.4,1.5
Arizona,"3,386",484,63,14.3,1.9
Arkansas,"2,342",499,48,21.3,2.1
California,"27,082","3,453",184,12.7,0.7
Colorado,"3,157",426,59,13.5,1.9
Connecticut,"3,125",186,43,6.0,1.4
Delaware,639,79,12,12.4,1.9
D.C.,602,77,12,12.8,2.0
Florida,"11,779","1,342",98,11.4,0.8
Georgia,"6,023",879,110,14.6,1.8
Hawaii,"1,024",109,18,10.7,1.7
Idaho,973,180,19,18.5,1.9
Illinois,"11,445","1,517",105,13.3,0.9
Indiana,"5,312",674,95,12.7,1.8
Iowa,"2,907",376,47,12.9,1.6
Kansas,"2,433",269,38,11.1,1.5
Kentucky,"3,560",630,70,17.7,2.0
Louisiana,"4,338",953,93,22.0,2.1
Maine,"1,127",115,19,10.2,1.6
Maryland,"4,504",414,72,9.2,1.6
Massachusetts,"5,846",538,46,9.2,0.8
Michigan,"9,112","1,267",84,13.9,0.9
Minnesota,"4,131",517,73,12.5,1.8
Mississippi,"2,610",695,55,26.6,2.1
Missouri,"4,998",722,93,14.4,1.9
Montana,823,136,15,16.5,1.8
Nebraska,"1,617",220,26,13.6,1.6
Nevada,"1,010",82,16,8.1,1.5
New Hampshire,"1,002",37,11,3.7,1.1
New Jersey,"7,624",679,58,8.9,1.1
New Mexico,"1,434",306,30,21.3,2.1
New York,"17,585","2,322",120,13.2,0.7
North Carolina,"6,178",884,58,14.3,0.9
North Dakota,651,88,10,13.5,1.6
Ohio,"10,703","1,372",94,12.8,0.9
Oklahoma,"3,184",469,56,14.7,1.8
Oregon,"2,702",332,50,12.3,1.8
Pennsylvania,"11,782","1,190",93,10.1,0.8
Rhode Island,953,87,16,9.1,1.7
South Carolina,"3,288",569,59,17.3,1.8
South Dakota,697,118,12,17.0,1.7
Tennessee,"4,650",853,90,18.3,1.9
Texas,"16,371","2,825",163,17.3,1.0
Utah,"1,659",209,27,12.6,1.7
Vermont,529,58,10,11.0,1.8
Virginia,"5,624",547,79,9.7,1.4
Washington,"4,369",563,78,12.9,1.8
West Virginia,"1,927",432,39,22.4,2.1
Wisconsin,"4,697",501,70,10.7,1.5
Wyoming,496,73,10,14.6,2.0
1985,,,,,
STATE,Total,Number,"Standard
error",Percent,"Standard
error"
Alabama,"3,981",821,82,20.6,2.1
Alaska,510,45,7,8.7,1.4
Arizona,"3,227",345,54,10.7,1.7
Arkansas,"2,364",541,50,22.9,2.1
California,"26,456","3,596",188,13.6,0.7
Colorado,"3,176",324,53,10.2,1.7
Connecticut,"3,111",237,49,7.6,1.6
Delaware,624,71,11,11.4,1.8
D.C.,603,123,14,20.4,2.4
Florida,"11,537","1,551",105,13.4,0.9
Georgia,"5,867","1,037",118,17.7,2.0
Hawaii,"1,018",109,18,10.7,1.7
Idaho,996,159,18,16.0,1.8
Illinois,"11,743","1,830",113,15.6,1.0
Indiana,"5,302",639,93,12.0,1.7
Iowa,"2,815",505,53,17.9,1.9
Kansas,"2,395",331,41,13.8,1.7
Kentucky,"3,650",708,74,19.4,2.0
Louisiana,"4,322",781,86,18.1,2.0
Maine,"1,129",134,20,11.9,1.8
Maryland,"4,209",364,68,8.7,1.6
Massachusetts,"5,899",544,47,9.2,0.8
Michigan,"9,051","1,308",86,14.5,0.9
Minnesota,"4,146",523,73,12.6,1.8
Mississippi,"2,564",644,53,25.1,2.1
Missouri,"5,011",689,91,13.7,1.8
Montana,835,134,15,16.0,1.7
Nebraska,"1,589",235,27,14.8,1.7
Nevada,968,139,20,14.4,2.0
New Hampshire,988,59,14,6.0,1.5
New Jersey,"7,608",631,56,8.3,0.7
New Mexico,"1,447",267,28,18.5,2.0
New York,"17,668","2,796",130,15.8,0.7
North Carolina,"6,073",863,57,14.2,0.9
North Dakota,681,108,11,15.9,1.7
Ohio,"10,629","1,359",94,12.8,0.9
Oklahoma,"3,280",526,59,16.0,1.8
Oregon,"2,671",317,49,11.9,1.8
Pennsylvania,"11,554","1,217",94,10.5,0.8
Rhode Island,933,84,15,9.0,1.7
South Carolina,"3,219",489,55,15.2,1.7
South Dakota,689,119,12,17.3,1.7
Tennessee,"4,619",837,89,18.1,1.9
Texas,"16,231","2,582",157,15.9,1.0
Utah,"1,652",180,26,10.9,1.6
Vermont,524,48,9,9.2,1.7
Virginia,"5,567",558,79,10.0,1.4
Washington,"4,371",526,76,12.0,1.7
West Virginia,"1,894",423,39,22.3,2.1
Wisconsin,"4,693",544,73,11.6,1.6
Wyoming,506,61,9,12.0,1.8
1984,,,,,
STATE,Total,Number,"Standard
error",Percent,"Standard
error"
Alabama,"3,875",738,76,19.1,1.8
Alaska,507,49,20,9.6,3.7
Arizona,"3,133",569,67,18.2,1.9
Arkansas,"2,364",564,67,23.9,2.5
California,"25,596","3,375",163,13.2,0.6
Colorado,"3,067",274,47,8.9,1.5
Connecticut,"3,152",218,42,6.9,1.3
Delaware,611,63,22,10.3,3.5
D.C.,607,128,32,21.1,4.7
Florida,"11,194","1,693",116,15.1,1.0
Georgia,"5,822",981,88,16.9,1.4
Hawaii,997,92,27,9.3,2.6
Idaho,992,171,37,17.3,3.4
Illinois,"11,649","1,753",118,15.0,0.9
Indiana,"5,419",697,74,12.9,1.3
